Name,Brand,Price,Product_URL,Image_URL
'Greca Rhegis' Stiefel,Versace,797 €,https://www.farfetch.com//de/shopping/men/versace-greca-rhegis-stiefel-item-15983666.aspx,https://cdn-images.farfetch-contents.com/15/98/36/66/15983666_29793345_300.jpg
'Lydon' Stiefel,Officine Creative,542 €,https://www.farfetch.com//de/shopping/men/officine-creative-lydon-stiefel-item-15955516.aspx,https://cdn-images.farfetch-contents.com/15/98/36/66/15983666_29793344_300.jpg
buckle-strap leather Chelsea boots,Valentino Garavani,850 €,https://www.farfetch.com//de/shopping/men/valentino-garavani-buckle-strap-leather-chelsea-boots-item-15994230.aspx,https://cdn-images.farfetch-contents.com/15/95/55/16/15955516_29673762_300.jpg
Stiefel mit Schnallendetail,Jil Sander,845 €,https://www.farfetch.com//de/shopping/men/jil-sander-stiefel-mit-schnallendetail-item-15967542.aspx,https://cdn-images.farfetch-contents.com/15/95/55/16/15955516_29681085_300.jpg
'Oversized' Sneakers,Alexander McQueen,490 €,https://www.farfetch.com//de/shopping/men/alexander-mcqueen-oversized-sneakers-item-15370093.aspx,https://cdn-images.farfetch-contents.com/15/99/42/30/15994230_29767423_300.jpg
Reebok x Chromat 'Instapump Fury' Sneakers,Reebok,167 €,https://www.farfetch.com//de/shopping/men/reebok-reebok-x-chromat-instapump-fury-sneakers-item-15973317.aspx,https://cdn-images.farfetch-contents.com/15/99/42/30/15994230_29767438_300.jpg
'Out of Office' Sneakers,Off-White,390 €,https://www.farfetch.com//de/shopping/men/off-white-out-of-office-sneakers-item-15970041.aspx,https://cdn-images.farfetch-contents.com/15/96/75/42/15967542_29700277_300.jpg
'Rockrunner' Sneakers,Valentino Garavani,550 €,https://www.farfetch.com//de/shopping/men/valentino-garavani-rockrunner-sneakers-item-15995431.aspx,https://cdn-images.farfetch-contents.com/15/96/75/42/15967542_29700288_300.jpg
Penny-Loafer mit Plateausohle,Marni,590 €,https://www.farfetch.com//de/shopping/men/marni-penny-loafer-mit-plateausohle-item-15974399.aspx,https://cdn-images.farfetch-contents.com/15/37/00/93/15370093_29766240_300.jpg
Loafer mit eckiger Kappe,Martine Rose,385 €,https://www.farfetch.com//de/shopping/men/martine-rose-loafer-mit-eckiger-kappe-item-15861529.aspx,https://cdn-images.farfetch-contents.com/15/37/00/93/15370093_29766241_300.jpg
Loafer mit Quasten,Tod's,530 €,https://www.farfetch.com//de/shopping/men/tods-loafer-mit-quasten-item-15844385.aspx,https://cdn-images.farfetch-contents.com/15/97/33/17/15973317_29740779_300.jpg
Mokassins mit Tabi-Kappe,Maison Margiela,850 €,https://www.farfetch.com//de/shopping/men/maison-margiela-mokassins-mit-tabi-kappe-item-15442489.aspx,https://cdn-images.farfetch-contents.com/15/97/33/17/15973317_29740781_300.jpg
'Nord' Bikerstiefel,Jimmy Choo,495 €,https://www.farfetch.com//de/shopping/men/jimmy-choo-nord-bikerstiefel-item-15689333.aspx,https://cdn-images.farfetch-contents.com/15/97/00/41/15970041_29643250_300.jpg
'Notoma' Stiefel mit dicker Sohle,Y-3,329 €,https://www.farfetch.com//de/shopping/men/y-3-notoma-stiefel-mit-dicker-sohle-item-15925927.aspx,https://cdn-images.farfetch-contents.com/15/97/00/41/15970041_29642435_300.jpg
Schnürstiefel mit dicker Sohle,Burberry,790 €,https://www.farfetch.com//de/shopping/men/burberry-schnurstiefel-mit-dicker-sohle-item-15913810.aspx,https://cdn-images.farfetch-contents.com/15/99/54/31/15995431_29793247_300.jpg
Klassische Schnürstiefel,Ann Demeulemeester,793 €,https://www.farfetch.com//de/shopping/men/ann-demeulemeester-klassische-schnurstiefel-item-15963241.aspx,https://cdn-images.farfetch-contents.com/15/99/54/31/15995431_29793245_300.jpg
'Ultrapace R' Sneakers,Gucci,780 €,https://www.farfetch.com//de/shopping/men/gucci-ultrapace-r-sneakers-item-15392981.aspx,https://cdn-images.farfetch-contents.com/15/97/43/99/15974399_29665471_300.jpg
Sneakers mit Logo,Y-3,340 €,https://www.farfetch.com//de/shopping/men/y-3-sneakers-mit-logo-item-15962621.aspx,https://cdn-images.farfetch-contents.com/15/97/43/99/15974399_29665472_300.jpg
oversize lace detail sneakers,LANVIN,687 €,https://www.farfetch.com//de/shopping/men/lanvin-oversize-lace-detail-sneakers-item-15984157.aspx,https://cdn-images.farfetch-contents.com/15/86/15/29/15861529_29504938_300.jpg
'Java' Sneakers,Jimmy Choo,375 €,https://www.farfetch.com//de/shopping/men/jimmy-choo-java-sneakers-item-15689191.aspx,https://cdn-images.farfetch-contents.com/15/86/15/29/15861529_29504944_300.jpg
'Miles' Loafer,Malone Souliers,849 €,https://www.farfetch.com//de/shopping/men/malone-souliers-miles-loafer-item-15585496.aspx,https://cdn-images.farfetch-contents.com/15/84/43/85/15844385_29602537_300.jpg
Loafer mit Vintage-Check,Burberry,520 €,https://www.farfetch.com//de/shopping/men/burberry-loafer-mit-vintage-check-item-15400453.aspx,https://cdn-images.farfetch-contents.com/15/84/43/85/15844385_29598876_300.jpg
'Tabi' Loafer,Maison Margiela,820 €,https://www.farfetch.com//de/shopping/men/maison-margiela-tabi-loafer-item-15910287.aspx,https://cdn-images.farfetch-contents.com/15/44/24/89/15442489_29763782_300.jpg
"SB Dunk High ""Doraemon"" sneakers",Nike,815 €,https://www.farfetch.com//de/shopping/men/nike-sb-dunk-high-doraemon-sneakers-item-15855779.aspx,https://cdn-images.farfetch-contents.com/15/44/24/89/15442489_29764080_300.jpg
'Hawaii' Sneakers,Jimmy Choo,395 €,https://www.farfetch.com//de/shopping/men/jimmy-choo-hawaii-sneakers-item-15689246.aspx,https://cdn-images.farfetch-contents.com/15/68/93/33/15689333_29117948_300.jpg
Sneakers mit Kontrasteinsatz,Off-White,543 €,https://www.farfetch.com//de/shopping/men/off-white-sneakers-mit-kontrasteinsatz-item-15934763.aspx,https://cdn-images.farfetch-contents.com/15/68/93/33/15689333_29114998_300.jpg
